date,sku_id,units_sold,revenue,unit_price,promo_flag,week,month,season,is_holiday,promo_event,year,day,day_of_week,quarter,lag_1,rolling_7,predicted_demand,on_hand_units,on_order_units,lead_time_days,reorder_point,risk_status,recommendation
2024-05-13,SKU-BED-001,23,137681.68,5986.16,0,20,5,Spring,0,0,2024,13,0,2,25.0,21.142857142857142,21.84833333333333,268,0,7,224,Overstock,Reduce Purchase
2024-05-20,SKU-BED-001,17,101764.72,5986.16,0,21,5,Spring,0,0,2024,20,0,2,30.0,23.0,18.44,560,0,7,224,Overstock,Reduce Purchase
2024-05-27,SKU-BED-001,18,107750.88,5986.16,0,22,5,Spring,0,0,2024,27,0,2,38.0,26.285714285714285,20.34,808,0,21,674,Overstock,Reduce Purchase
2024-06-03,SKU-BED-001,16,95778.56,5986.16,0,23,6,Summer,0,0,2024,3,0,2,37.0,23.142857142857142,17.53,1122,0,14,449,Overstock,Reduce Purchase
2024-06-10,SKU-BED-001,19,113737.04,5986.16,0,24,6,Summer,0,0,2024,10,0,2,24.0,21.285714285714285,21.6725,2696,0,21,674,Overstock,Reduce Purchase
2024-06-17,SKU-BED-001,17,101764.72,5986.16,0,25,6,Summer,0,0,2024,17,0,2,30.0,22.428571428571427,18.2275,314,359,14,449,Overstock,Reduce Purchase
2024-06-24,SKU-BED-001,26,155640.16,5986.16,0,26,6,Summer,0,0,2024,24,0,2,22.0,21.714285714285715,19.38,629,719,28,899,Overstock,Reduce Purchase
2024-07-01,SKU-BED-001,27,161626.32,5986.16,0,27,7,Summer,0,0,2024,1,0,3,34.0,24.285714285714285,23.3,2247,0,28,899,Overstock,Reduce Purchase
2024-07-08,SKU-BED-001,13,77820.08,5986.16,0,28,7,Summer,0,0,2024,8,0,3,23.0,18.571428571428573,14.71,896,0,7,224,Overstock,Reduce Purchase
2024-07-15,SKU-BED-001,19,113737.04,5986.16,0,29,7,Summer,0,0,2024,15,0,3,27.0,20.857142857142858,19.21,471,539,21,674,Overstock,Reduce Purchase
2024-07-22,SKU-BED-001,14,83806.24,5986.16,0,30,7,Summer,0,0,2024,22,0,3,29.0,19.142857142857142,15.19,134,359,14,449,Overstock,Reduce Purchase
2024-07-29,SKU-BED-001,18,107750.88,5986.16,0,31,7,Summer,0,0,2024,29,0,3,31.0,22.285714285714285,17.0,268,0,7,224,Overstock,Reduce Purchase
2024-08-05,SKU-BED-001,21,125709.36,5986.16,0,32,8,Summer,0,0,2024,5,0,3,32.0,22.428571428571427,20.32,268,0,7,224,Overstock,Reduce Purchase
2024-08-12,SKU-BED-001,44,223882.56,5088.24,1,33,8,Summer,0,Independence Sale,2024,12,0,3,16.0,24.142857142857142,44.27,1796,0,14,449,Overstock,Reduce Purchase
2024-08-19,SKU-BED-001,28,167612.48,5986.16,0,34,8,Summer,0,0,2024,19,0,3,31.0,39.142857142857146,26.88,1122,0,14,449,Overstock,Reduce Purchase
2024-08-26,SKU-BED-001,23,137681.68,5986.16,0,35,8,Summer,0,0,2024,26,0,3,35.0,24.714285714285715,23.88,268,0,7,224,Overstock,Reduce Purchase
2024-09-02,SKU-BED-001,24,143667.84,5986.16,0,36,9,Autumn,0,0,2024,2,0,3,33.0,22.857142857142858,23.63,134,359,14,449,Overstock,Reduce Purchase
2024-09-09,SKU-BED-001,25,149654.0,5986.16,0,37,9,Autumn,0,0,2024,9,0,3,23.0,21.714285714285715,22.3,67,179,7,224,Overstock,Reduce Purchase
2024-09-16,SKU-BED-001,28,167612.48,5986.16,0,38,9,Autumn,0,0,2024,16,0,3,23.0,24.285714285714285,25.9,2247,0,28,899,Overstock,Reduce Purchase
2024-09-23,SKU-BED-001,21,125709.36,5986.16,0,39,9,Autumn,0,0,2024,23,0,3,27.0,20.285714285714285,19.22,269,719,28,899,Overstock,Reduce Purchase
2024-09-30,SKU-BED-001,20,119723.2,5986.16,0,40,9,Autumn,0,0,2024,30,0,3,28.0,22.0,20.85,156,179,7,224,Overstock,Reduce Purchase
2024-10-07,SKU-BED-001,25,149654.0,5986.16,0,41,10,Autumn,0,0,2024,7,0,4,29.0,22.857142857142858,22.72,1685,0,21,674,Overstock,Reduce Purchase
2024-10-14,SKU-BED-001,15,89792.4,5986.16,0,42,10,Autumn,0,0,2024,14,0,4,27.0,21.0,16.17,134,359,14,449,Overstock,Reduce Purchase
2024-10-21,SKU-BED-001,26,140076.04,5387.54,1,43,10,Autumn,0,0,2024,21,0,4,30.0,24.714285714285715,25.32,1685,0,21,674,Overstock,Reduce Purchase
2024-10-28,SKU-BED-001,48,229868.64,4788.93,1,44,10,Autumn,0,Diwali Festive Week,2024,28,0,4,63.0,38.142857142857146,43.06,67,179,7,224,Normal,No Action
2024-11-04,SKU-BED-001,16,95778.56,5986.16,0,45,11,Autumn,0,0,2024,4,0,4,37.0,21.428571428571427,17.09,471,539,21,674,Overstock,Reduce Purchase
2024-11-11,SKU-BED-001,18,107750.88,5986.16,0,46,11,Autumn,0,0,2024,11,0,4,26.0,21.857142857142858,17.89,808,0,21,674,Overstock,Reduce Purchase
2024-11-18,SKU-BED-001,17,101764.72,5986.16,0,47,11,Autumn,0,0,2024,18,0,4,32.0,23.285714285714285,19.43357142857143,808,0,21,674,Overstock,Reduce Purchase
2024-11-25,SKU-BED-001,20,119723.2,5986.16,0,48,11,Autumn,0,0,2024,25,0,4,22.0,20.714285714285715,20.292833333333334,560,0,7,224,Overstock,Reduce Purchase
2024-12-02,SKU-BED-001,22,131695.52,5986.16,0,49,12,Winter,0,0,2024,2,0,4,24.0,30.857142857142858,20.413,1685,0,21,674,Overstock,Reduce Purchase
2024-12-09,SKU-BED-001,28,167612.48,5986.16,0,50,12,Winter,0,0,2024,9,0,4,19.0,23.714285714285715,25.74,269,719,28,899,Overstock,Reduce Purchase
2024-12-16,SKU-BED-001,24,114934.32,4788.93,1,51,12,Winter,0,0,2024,16,0,4,27.0,23.285714285714285,20.56,1685,0,21,674,Overstock,Reduce Purchase
2024-12-23,SKU-BED-001,16,95778.56,5986.16,0,52,12,Winter,0,0,2024,23,0,4,35.0,21.857142857142858,17.18,269,719,28,899,Overstock,Reduce Purchase
2024-12-30,SKU-BED-001,22,131695.52,5986.16,0,1,12,Winter,0,0,2024,30,0,4,30.0,24.714285714285715,22.97,629,719,28,899,Overstock,Reduce Purchase
2025-01-06,SKU-BED-001,20,119723.2,5986.16,0,2,1,Winter,0,0,2025,6,0,1,25.0,21.857142857142858,18.625,269,719,28,899,Overstock,Reduce Purchase
2025-01-13,SKU-BED-001,25,149654.0,5986.16,0,3,1,Winter,0,0,2025,13,0,1,25.0,19.142857142857142,19.743333333333332,896,0,7,224,Overstock,Reduce Purchase
2025-01-20,SKU-BED-001,18,102363.3,5686.85,1,4,1,Winter,0,0,2025,20,0,1,21.0,21.857142857142858,20.79,1685,0,21,674,Overstock,Reduce Purchase
2025-01-27,SKU-BED-001,12,71833.92,5986.16,0,5,1,Winter,0,0,2025,27,0,1,35.0,24.0,14.27,1078,0,28,899,Overstock,Reduce Purchase
2025-02-03,SKU-BED-001,22,131695.52,5986.16,0,6,2,Winter,0,0,2025,3,0,1,38.0,25.857142857142858,24.57,2696,0,21,674,Overstock,Reduce Purchase
2025-02-10,SKU-BED-001,21,125709.36,5986.16,0,7,2,Winter,0,0,2025,10,0,1,25.0,19.857142857142858,20.415,2247,0,28,899,Overstock,Reduce Purchase
2025-02-17,SKU-BED-001,19,113737.04,5986.16,0,8,2,Winter,0,0,2025,17,0,1,25.0,21.285714285714285,17.85,2247,0,28,899,Overstock,Reduce Purchase
2025-02-24,SKU-BED-001,14,83806.24,5986.16,0,9,2,Winter,0,0,2025,24,0,1,20.0,20.714285714285715,16.26833333333333,268,0,7,224,Overstock,Reduce Purchase
2025-03-03,SKU-BED-001,20,119723.2,5986.16,0,10,3,Spring,0,0,2025,3,0,1,21.0,22.285714285714285,20.27,67,179,7,224,Overstock,Reduce Purchase
2025-03-10,SKU-BED-001,18,107750.88,5986.16,0,11,3,Spring,0,0,2025,10,0,1,35.0,23.571428571428573,18.45,1078,0,28,899,Overstock,Reduce Purchase
2025-03-17,SKU-BED-001,25,149654.0,5986.16,0,12,3,Spring,0,0,2025,17,0,1,24.0,23.285714285714285,18.42,896,0,7,224,Overstock,Reduce Purchase
2025-03-24,SKU-BED-001,25,149654.0,5986.16,0,13,3,Spring,0,0,2025,24,0,1,29.0,25.0,25.25,808,0,21,674,Overstock,Reduce Purchase
2025-03-31,SKU-BED-001,21,100567.53,4788.93,1,14,3,Spring,0,0,2025,31,0,1,25.0,21.857142857142858,19.46,629,719,28,899,Overstock,Reduce Purchase
2025-04-07,SKU-BED-001,27,161626.32,5986.16,0,15,4,Spring,0,0,2025,7,0,2,27.0,23.571428571428573,24.27,2247,0,28,899,Overstock,Reduce Purchase
2025-04-14,SKU-BED-001,30,179584.8,5986.16,0,16,4,Spring,0,0,2025,14,0,2,22.0,24.428571428571427,27.46,1796,0,14,449,Overstock,Reduce Purchase
2025-04-21,SKU-BED-001,32,191557.12,5986.16,0,17,4,Spring,0,0,2025,21,0,2,24.0,21.714285714285715,20.29,134,359,14,449,Overstock,Reduce Purchase
2025-04-28,SKU-BED-001,25,149654.0,5986.16,0,18,4,Spring,0,0,2025,28,0,2,34.0,25.285714285714285,23.5,134,359,14,449,Overstock,Reduce Purchase
2025-05-05,SKU-BED-001,32,181979.2,5686.85,1,19,5,Spring,0,0,2025,5,0,2,24.0,25.857142857142858,29.24,538,0,14,449,Overstock,Reduce Purchase
2025-05-12,SKU-BED-001,24,143667.84,5986.16,0,20,5,Spring,0,0,2025,12,0,2,28.0,23.142857142857142,22.36,471,539,21,674,Overstock,Reduce Purchase
2025-05-19,SKU-BED-001,18,107750.88,5986.16,0,21,5,Spring,0,0,2025,19,0,2,26.0,22.285714285714285,19.295,560,0,7,224,Overstock,Reduce Purchase
2025-05-26,SKU-BED-001,13,77820.08,5986.16,0,22,5,Spring,0,0,2025,26,0,2,39.0,21.571428571428573,13.96,2696,0,21,674,Overstock,Reduce Purchase
2025-06-02,SKU-BED-001,17,101764.72,5986.16,0,23,6,Summer,0,0,2025,2,0,2,46.0,23.0,17.43,1796,0,14,449,Overstock,Reduce Purchase
2025-06-09,SKU-BED-001,24,143667.84,5986.16,0,24,6,Summer,0,0,2025,9,0,2,26.0,22.857142857142858,23.0,202,539,21,674,Overstock,Reduce Purchase
2025-06-16,SKU-BED-001,24,143667.84,5986.16,0,25,6,Summer,0,0,2025,16,0,2,22.0,20.571428571428573,22.78,896,0,7,224,Overstock,Reduce Purchase
2025-06-23,SKU-BED-001,16,95778.56,5986.16,0,26,6,Summer,0,0,2025,23,0,2,24.0,20.142857142857142,16.41,1796,0,14,449,Overstock,Reduce Purchase
2025-06-30,SKU-BED-001,21,125709.36,5986.16,0,27,6,Summer,0,0,2025,30,0,2,22.0,22.428571428571427,21.15,2696,0,21,674,Overstock,Reduce Purchase
2025-07-07,SKU-BED-001,22,131695.52,5986.16,0,28,7,Summer,0,0,2025,7,0,3,26.0,22.714285714285715,21.58,3596,0,28,899,Overstock,Reduce Purchase
2025-07-14,SKU-BED-001,21,125709.36,5986.16,0,29,7,Summer,0,0,2025,14,0,3,26.0,23.285714285714285,22.37,314,359,14,449,Overstock,Reduce Purchase
2025-07-21,SKU-BED-001,22,131695.52,5986.16,0,30,7,Summer,0,0,2025,21,0,3,25.0,21.857142857142858,23.91916666666667,1122,0,14,449,Overstock,Reduce Purchase
2025-07-28,SKU-BED-001,13,77820.08,5986.16,0,31,7,Summer,0,0,2025,28,0,3,25.0,23.0,16.47,896,0,7,224,Overstock,Reduce Purchase
2025-08-04,SKU-BED-001,23,137681.68,5986.16,0,32,8,Summer,0,0,2025,4,0,3,26.0,21.285714285714285,22.14,560,0,7,224,Overstock,Reduce Purchase
2025-08-11,SKU-BED-001,23,137681.68,5986.16,0,33,8,Summer,0,0,2025,11,0,3,31.0,22.571428571428573,22.37,2247,0,28,899,Overstock,Reduce Purchase
2025-08-18,SKU-BED-001,11,65847.76,5986.16,0,34,8,Summer,0,0,2025,18,0,3,19.0,32.0,15.37,2247,0,28,899,Overstock,Reduce Purchase
2025-08-25,SKU-BED-001,21,125709.36,5986.16,0,35,8,Summer,0,0,2025,25,0,3,27.0,21.0,17.201666666666668,808,0,21,674,Overstock,Reduce Purchase
2025-09-01,SKU-BED-001,14,83806.24,5986.16,0,36,9,Autumn,0,0,2025,1,0,3,36.0,21.142857142857142,17.9,471,539,21,674,Overstock,Reduce Purchase
2025-09-08,SKU-BED-001,37,221487.92,5986.16,0,37,9,Autumn,0,0,2025,8,0,3,18.0,24.0,22.70666666666667,2696,0,21,674,Overstock,Reduce Purchase
2025-09-15,SKU-BED-001,23,137681.68,5986.16,0,38,9,Autumn,0,0,2025,15,0,3,28.0,20.0,20.01,1078,0,28,899,Overstock,Reduce Purchase
2025-09-22,SKU-BED-001,12,71833.92,5986.16,0,39,9,Autumn,0,0,2025,22,0,3,26.0,24.714285714285715,16.12,134,359,14,449,Overstock,Reduce Purchase
2025-09-29,SKU-BED-001,23,137681.68,5986.16,0,40,9,Autumn,0,0,2025,29,0,3,29.0,26.142857142857142,22.57,202,539,21,674,Overstock,Reduce Purchase
2025-10-06,SKU-BED-001,26,155640.16,5986.16,0,41,10,Autumn,0,0,2025,6,0,4,23.0,25.285714285714285,22.21,3596,0,28,899,Overstock,Reduce Purchase
2025-10-13,SKU-BED-001,21,125709.36,5986.16,0,42,10,Autumn,0,0,2025,13,0,4,25.0,22.285714285714285,19.74,471,539,21,674,Overstock,Reduce Purchase
2025-10-20,SKU-BED-001,42,201135.06,4788.93,1,43,10,Autumn,1,Diwali Festive Week,2025,20,0,4,57.0,37.142857142857146,41.93,1685,0,21,674,Overstock,Reduce Purchase
2025-10-27,SKU-BED-001,17,81411.81,4788.93,1,44,10,Autumn,0,0,2025,27,0,4,24.0,23.285714285714285,19.18,314,359,14,449,Overstock,Reduce Purchase
2025-11-03,SKU-BED-001,15,89792.4,5986.16,0,45,11,Autumn,0,0,2025,3,0,4,26.0,19.142857142857142,15.765,67,179,7,224,Overstock,Reduce Purchase
2025-11-10,SKU-BED-001,20,119723.2,5986.16,0,46,11,Autumn,0,0,2025,10,0,4,19.0,20.142857142857142,19.07,134,359,14,449,Overstock,Reduce Purchase
2025-11-17,SKU-BED-001,19,113737.04,5986.16,0,47,11,Autumn,0,0,2025,17,0,4,24.0,23.714285714285715,21.22,808,0,21,674,Overstock,Reduce Purchase
2025-11-24,SKU-BED-001,21,125709.36,5986.16,0,48,11,Autumn,0,0,2025,24,0,4,35.0,24.285714285714285,21.29,67,179,7,224,Overstock,Reduce Purchase
2025-12-01,SKU-BED-001,33,197543.28,5986.16,0,49,12,Winter,0,0,2025,1,0,4,26.0,26.428571428571427,17.51,1685,0,21,674,Overstock,Reduce Purchase
2025-12-08,SKU-BED-001,26,155640.16,5986.16,0,50,12,Winter,0,0,2025,8,0,4,27.0,24.428571428571427,25.21,268,0,7,224,Overstock,Reduce Purchase
2025-12-15,SKU-BED-001,28,167612.48,5986.16,0,51,12,Winter,0,0,2025,15,0,4,33.0,26.857142857142858,26.96,471,539,21,674,Overstock,Reduce Purchase
2025-12-22,SKU-BED-001,13,77820.08,5986.16,0,52,12,Winter,0,0,2025,22,0,4,29.0,19.428571428571427,13.235,808,0,21,674,Overstock,Reduce Purchase
2025-12-29,SKU-BED-001,19,113737.04,5986.16,0,1,12,Winter,0,0,2025,29,0,4,33.0,23.428571428571427,19.29,808,0,21,674,Overstock,Reduce Purchase
2024-01-01,SKU-BED-002,20,54189.4,2709.47,0,1,1,Winter,0,0,2024,1,0,1,0.0,0.0,13.112168112754995,110,293,14,367,Overstock,Reduce Purchase
2024-01-08,SKU-BED-002,28,75865.16,2709.47,0,2,1,Winter,0,0,2024,8,0,1,23.0,21.285714285714285,23.98,1835,0,28,734,Overstock,Reduce Purchase
2024-01-15,SKU-BED-002,30,81284.1,2709.47,0,3,1,Winter,0,0,2024,15,0,1,31.0,21.285714285714285,25.27,54,146,7,183,Overstock,Reduce Purchase
2024-01-22,SKU-BED-002,23,62317.81,2709.47,0,4,1,Winter,0,0,2024,22,0,1,27.0,22.428571428571427,23.17,917,0,14,367,Overstock,Reduce Purchase
2024-01-29,SKU-BED-002,27,58524.66,2167.58,1,5,1,Winter,0,0,2024,29,0,1,23.0,18.714285714285715,24.19,661,0,21,551,Overstock,Reduce Purchase
2024-02-05,SKU-BED-002,15,40642.05,2709.47,0,6,2,Winter,0,0,2024,5,0,1,21.0,17.857142857142858,15.48,128,146,7,183,Overstock,Reduce Purchase
2024-02-12,SKU-BED-002,19,46331.88,2438.52,1,7,2,Winter,0,0,2024,12,0,1,12.0,18.571428571428573,19.53,2204,0,21,551,Overstock,Reduce Purchase
2024-02-19,SKU-BED-002,21,56898.87,2709.47,0,8,2,Winter,0,0,2024,19,0,1,19.0,18.428571428571427,18.2,440,0,14,367,Overstock,Reduce Purchase
2024-02-26,SKU-BED-002,21,56898.87,2709.47,0,9,2,Winter,0,0,2024,26,0,1,21.0,19.0,17.366666666666667,1468,0,14,367,Overstock,Reduce Purchase
2024-03-04,SKU-BED-002,11,29804.17,2709.47,0,10,3,Spring,0,0,2024,4,0,1,31.0,18.428571428571427,13.09,1835,0,28,734,Overstock,Reduce Purchase
2024-03-11,SKU-BED-002,23,56085.96,2438.52,1,11,3,Spring,0,0,2024,11,0,1,16.0,15.571428571428571,20.19,880,0,28,734,Overstock,Reduce Purchase
2024-03-18,SKU-BED-002,19,51479.93,2709.47,0,12,3,Spring,0,0,2024,18,0,1,20.0,18.571428571428573,17.648333333333333,110,293,14,367,Overstock,Reduce Purchase
2024-03-25,SKU-BED-002,20,54189.4,2709.47,0,13,3,Spring,1,0,2024,25,0,1,24.0,20.428571428571427,19.67,219,0,7,183,Overstock,Reduce Purchase
2024-04-01,SKU-BED-002,18,48770.46,2709.47,0,14,4,Spring,0,0,2024,1,0,2,15.0,20.571428571428573,19.52,917,0,14,367,Overstock,Reduce Purchase
2024-04-08,SKU-BED-002,10,27094.7,2709.47,0,15,4,Spring,0,0,2024,8,0,2,30.0,18.0,12.2,457,0,7,183,Overstock,Reduce Purchase
2024-04-15,SKU-BED-002,14,37932.58,2709.47,0,16,4,Spring,0,0,2024,15,0,2,13.0,16.142857142857142,15.338333333333333,661,0,21,551,Overstock,Reduce Purchase
2024-04-22,SKU-BED-002,14,37932.58,2709.47,0,17,4,Spring,0,0,2024,22,0,2,18.0,16.142857142857142,13.85,385,440,21,551,Overstock,Reduce Purchase
2024-04-29,SKU-BED-002,11,29804.17,2709.47,0,18,4,Spring,0,0,2024,29,0,2,14.0,17.428571428571427,13.98333333333333,513,587,28,734,Overstock,Reduce Purchase
2024-05-06,SKU-BED-002,18,48770.46,2709.47,0,19,5,Spring,0,0,2024,6,0,2,18.0,16.714285714285715,17.02,165,440,21,551,Overstock,Reduce Purchase
2024-05-13,SKU-BED-002,15,40642.05,2709.47,0,20,5,Spring,0,0,2024,13,0,2,24.0,19.857142857142858,14.87,165,440,21,551,Overstock,Reduce Purchase
2024-05-20,SKU-BED-002,12,32513.64,2709.47,0,21,5,Spring,0,0,2024,20,0,2,24.0,22.0,15.55,440,0,14,367,Overstock,Reduce Purchase
2024-05-27,SKU-BED-002,16,43351.52,2709.47,0,22,5,Spring,0,0,2024,27,0,2,15.0,18.714285714285715,17.421666666666667,457,0,7,183,Overstock,Reduce Purchase
2024-06-03,SKU-BED-002,19,51479.93,2709.47,0,23,6,Summer,0,0,2024,3,0,2,30.0,18.285714285714285,18.050833333333333,732,0,7,183,Overstock,Reduce Purchase
2024-06-10,SKU-BED-002,21,56898.87,2709.47,0,24,6,Summer,0,0,2024,10,0,2,24.0,18.857142857142858,19.885,165,440,21,551,Overstock,Reduce Purchase
2024-06-17,SKU-BED-002,23,59202.0,2574.0,1,25,6,Summer,0,0,2024,17,0,2,20.0,19.857142857142858,21.88,661,0,21,551,Overstock,Reduce Purchase
2024-06-24,SKU-BED-002,12,32513.64,2709.47,0,26,6,Summer,0,0,2024,24,0,2,19.0,19.142857142857142,19.382,440,0,14,367,Overstock,Reduce Purchase
2024-07-01,SKU-BED-002,19,41184.02,2167.58,1,27,7,Summer,0,0,2024,1,0,3,20.0,20.571428571428573,19.05,220,587,28,734,Overstock,Reduce Purchase
2024-07-08,SKU-BED-002,25,67736.75,2709.47,0,28,7,Summer,0,0,2024,8,0,3,11.0,17.142857142857142,17.165,661,0,21,551,Overstock,Reduce Purchase
2024-07-15,SKU-BED-002,11,29804.17,2709.47,0,29,7,Summer,0,0,2024,15,0,3,23.0,18.714285714285715,12.47,2936,0,28,734,Overstock,Reduce Purchase
2024-07-22,SKU-BED-002,19,51479.93,2709.47,0,30,7,Summer,0,0,2024,22,0,3,24.0,22.142857142857142,18.85,220,587,28,734,Overstock,Reduce Purchase
2024-07-29,SKU-BED-002,14,37932.58,2709.47,0,31,7,Summer,0,0,2024,29,0,3,23.0,18.714285714285715,14.73,54,146,7,183,Overstock,Reduce Purchase
2024-08-05,SKU-BED-002,14,37932.58,2709.47,0,32,8,Summer,0,0,2024,5,0,3,25.0,21.142857142857142,16.385,54,146,7,183,Overstock,Reduce Purchase
2024-08-12,SKU-BED-002,45,97541.1,2167.58,1,33,8,Summer,0,Independence Sale,2024,12,0,3,16.0,21.571428571428573,42.16616666666667,128,146,7,183,Overstock,Reduce Purchase
2024-08-19,SKU-BED-002,17,46060.99,2709.47,0,34,8,Summer,0,0,2024,19,0,3,24.0,24.714285714285715,15.84,165,440,21,551,Overstock,Reduce Purchase
2024-08-26,SKU-BED-002,22,59608.34,2709.47,0,35,8,Summer,0,0,2024,26,0,3,29.0,19.857142857142858,21.2,220,587,28,734,Overstock,Reduce Purchase
2024-09-02,SKU-BED-002,16,43351.52,2709.47,0,36,9,Autumn,0,0,2024,2,0,3,16.0,21.857142857142858,16.88,220,587,28,734,Overstock,Reduce Purchase
2024-09-09,SKU-BED-002,25,67736.75,2709.47,0,37,9,Autumn,0,0,2024,9,0,3,29.0,21.714285714285715,22.75,54,146,7,183,Overstock,Reduce Purchase
2024-09-16,SKU-BED-002,22,59608.34,2709.47,0,38,9,Autumn,0,0,2024,16,0,3,18.0,19.285714285714285,20.896,917,0,14,367,Overstock,Reduce Purchase
2024-09-23,SKU-BED-002,19,51479.93,2709.47,0,39,9,Autumn,0,0,2024,23,0,3,19.0,18.857142857142858,15.402857142857142,2204,0,21,551,Overstock,Reduce Purchase
2024-09-30,SKU-BED-002,14,37932.58,2709.47,0,40,9,Autumn,0,0,2024,30,0,3,26.0,21.0,15.75,917,0,14,367,Overstock,Reduce Purchase
2024-10-07,SKU-BED-002,19,51479.93,2709.47,0,41,10,Autumn,0,0,2024,7,0,4,19.0,18.0,17.891119047619046,880,0,28,734,Overstock,Reduce Purchase
2024-10-14,SKU-BED-002,12,32513.64,2709.47,0,42,10,Autumn,0,0,2024,14,0,4,21.0,20.571428571428573,15.03,54,146,7,183,Overstock,Reduce Purchase
2024-10-21,SKU-BED-002,19,51479.93,2709.47,0,43,10,Autumn,0,0,2024,21,0,4,20.0,19.285714285714285,16.128,54,146,7,183,Overstock,Reduce Purchase
2024-10-28,SKU-BED-002,34,73697.72,2167.58,1,44,10,Autumn,0,Diwali Festive Week,2024,28,0,4,54.0,34.285714285714285,36.08,1835,0,28,734,Overstock,Reduce Purchase
2024-11-04,SKU-BED-002,16,43351.52,2709.47,0,45,11,Autumn,0,0,2024,4,0,4,22.0,18.571428571428573,16.406666666666666,219,0,7,183,Overstock,Reduce Purchase
2024-11-11,SKU-BED-002,15,40642.05,2709.47,0,46,11,Autumn,0,0,2024,11,0,4,33.0,19.0,15.438333333333333,457,0,7,183,Overstock,Reduce Purchase
2024-11-18,SKU-BED-002,21,56898.87,2709.47,0,47,11,Autumn,0,0,2024,18,0,4,20.0,17.285714285714285,18.851,385,440,21,551,Overstock,Reduce Purchase
2024-11-25,SKU-BED-002,18,41454.9,2303.05,1,48,11,Autumn,0,0,2024,25,0,4,15.0,18.714285714285715,18.04,256,293,14,367,Overstock,Reduce Purchase
