date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-01-08,SKU-BED-013,584,0,21,487
2024-01-08,SKU-BED-014,242,0,7,202
2024-01-08,SKU-BED-015,1037,0,28,415
2024-01-08,SKU-BED-016,216,576,28,720
2024-01-08,SKU-BED-017,850,0,21,340
2024-01-08,SKU-BED-018,123,141,7,177
2024-01-08,SKU-BED-019,495,0,7,198
2024-01-08,SKU-BED-020,1967,0,28,787
2024-01-08,SKU-BED-021,379,0,14,316
2024-01-08,SKU-BED-022,1116,0,28,279
2024-01-08,SKU-BED-023,380,0,7,152
2024-01-08,SKU-BED-024,1392,0,14,348
2024-01-08,SKU-BED-025,357,0,28,298
2024-01-08,SKU-BED-026,857,0,14,343
2024-01-08,SKU-BED-027,487,0,21,195
2024-01-08,SKU-BED-028,640,0,28,534
2024-01-08,SKU-BED-029,130,348,21,436
2024-01-08,SKU-BED-030,1628,0,21,407
2024-01-08,SKU-BED-031,148,396,28,495
2024-01-08,SKU-BED-032,297,340,14,425
2024-01-08,SKU-BED-033,560,0,7,140
2024-01-08,SKU-BED-034,105,0,7,88
2024-01-08,SKU-BED-035,222,0,14,185
2024-01-08,SKU-BED-036,180,481,28,602
2024-01-08,SKU-BED-037,1290,0,21,516
2024-01-08,SKU-BED-038,830,0,14,332
2024-01-08,SKU-BED-039,456,521,21,652
2024-01-08,SKU-BED-040,965,0,14,386
2024-01-08,SKU-FUR-041,126,338,21,423
2024-01-08,SKU-FUR-042,241,0,7,201
2024-01-08,SKU-FUR-043,195,520,28,650
2024-01-08,SKU-FUR-044,81,93,7,117
2024-01-08,SKU-FUR-045,1040,0,28,416
2024-01-08,SKU-FUR-046,461,528,21,660
2024-01-08,SKU-FUR-047,1097,0,28,439
2024-01-08,SKU-FUR-048,332,0,14,277
2024-01-08,SKU-FUR-049,264,302,14,378
2024-01-08,SKU-FUR-050,47,126,7,158
2024-01-08,SKU-FUR-051,1400,0,14,350
2024-01-08,SKU-FUR-052,597,0,14,239
2024-01-08,SKU-FUR-053,87,233,14,292
2024-01-08,SKU-FUR-054,329,376,28,470
2024-01-08,SKU-FUR-055,130,347,21,434
2024-01-08,SKU-FUR-056,147,392,28,490
2024-01-08,SKU-FUR-057,1276,0,21,319
2024-01-08,SKU-FUR-058,65,175,14,219
2024-01-08,SKU-FUR-059,1304,0,14,326
2024-01-08,SKU-FUR-060,252,0,7,210
2024-01-08,SKU-FUR-061,46,124,7,156
2024-01-08,SKU-FUR-062,89,239,14,299
2024-01-08,SKU-FUR-063,266,304,28,380
2024-01-08,SKU-FUR-064,496,0,28,414
2024-01-08,SKU-FUR-065,1572,0,21,393
2024-01-08,SKU-FUR-066,374,0,14,312
2024-01-08,SKU-FUR-067,412,0,7,103
2024-01-08,SKU-FUR-068,171,456,28,571
2024-01-08,SKU-FUR-069,218,0,7,182
2024-01-08,SKU-FUR-070,387,442,28,553
2024-01-08,SKU-FUR-071,788,0,21,197
2024-01-08,SKU-FUR-072,33,89,7,112
2024-01-08,SKU-FUR-073,156,0,7,130
2024-01-08,SKU-FUR-074,1244,0,21,311
2024-01-08,SKU-FUR-075,1396,0,14,349
2024-01-08,SKU-FUR-076,622,0,14,249
2024-01-08,SKU-FUR-077,108,124,7,155
2024-01-08,SKU-FUR-078,168,192,14,241
2024-01-08,SKU-FUR-079,2764,0,21,691
2024-01-08,SKU-FUR-080,93,248,14,310
2024-01-08,SKU-DEC-081,1952,0,28,488
2024-01-08,SKU-DEC-082,333,0,14,278
2024-01-08,SKU-DEC-083,549,0,28,458
2024-01-08,SKU-DEC-084,1220,0,21,305
2024-01-08,SKU-DEC-085,460,0,7,184
2024-01-08,SKU-DEC-086,34,92,7,116
2024-01-08,SKU-DEC-087,224,0,7,187
2024-01-08,SKU-DEC-088,534,0,14,445
2024-01-08,SKU-DEC-089,1340,0,21,536
2024-01-08,SKU-DEC-090,1140,0,21,285
2024-01-08,SKU-DEC-091,2992,0,28,748
2024-01-08,SKU-DEC-092,76,87,7,109
2024-01-08,SKU-DEC-093,583,0,21,486
2024-01-08,SKU-DEC-094,952,0,14,381
2024-01-08,SKU-DEC-095,228,260,14,326
2024-01-08,SKU-DEC-096,68,181,7,227
2024-01-08,SKU-DEC-097,729,0,21,608
2024-01-08,SKU-DEC-098,236,270,21,338
2024-01-08,SKU-DEC-099,444,0,21,370
2024-01-08,SKU-DEC-100,852,0,21,341
2024-01-08,SKU-DEC-101,452,0,7,181
2024-01-08,SKU-DEC-102,117,134,14,168
2024-01-08,SKU-DEC-103,527,0,21,211
2024-01-08,SKU-DEC-104,720,0,28,288
2024-01-08,SKU-DEC-105,134,358,28,448
2024-01-08,SKU-DEC-106,2656,0,21,664
2024-01-08,SKU-DEC-107,850,0,14,340
2024-01-08,SKU-DEC-108,2272,0,21,568
2024-01-08,SKU-DEC-109,1280,0,28,320
2024-01-08,SKU-DEC-110,325,0,14,130
2024-01-08,SKU-DEC-111,154,176,14,221
2024-01-08,SKU-DEC-112,171,0,7,143
2024-01-08,SKU-DEC-113,600,0,14,240
2024-01-08,SKU-DEC-114,2700,0,21,675
2024-01-08,SKU-DEC-115,126,336,28,421
2024-01-08,SKU-DEC-116,124,332,14,415
2024-01-08,SKU-DEC-117,114,131,14,164
2024-01-08,SKU-DEC-118,102,117,14,147
2024-01-08,SKU-DEC-119,203,232,14,291
2024-01-08,SKU-DEC-120,447,511,28,639
2024-01-08,SKU-LIG-121,373,427,21,534
2024-01-08,SKU-LIG-122,185,212,21,265
2024-01-08,SKU-LIG-123,956,0,28,797
2024-01-08,SKU-LIG-124,266,711,28,889
2024-01-08,SKU-LIG-125,577,0,21,231
2024-01-08,SKU-LIG-126,1256,0,21,314
2024-01-08,SKU-LIG-127,188,501,28,627
2024-01-08,SKU-LIG-128,662,0,14,265
2024-01-08,SKU-LIG-129,1630,0,28,652
2024-01-08,SKU-LIG-130,150,400,21,500
2024-01-08,SKU-LIG-131,463,0,14,386
2024-01-08,SKU-LIG-132,37,100,7,126
2024-01-08,SKU-LIG-133,129,344,14,431
2024-01-08,SKU-LIG-134,541,0,28,451
2024-01-08,SKU-LIG-135,48,128,7,161
2024-01-08,SKU-LIG-136,40,108,7,135
2024-01-08,SKU-LIG-137,443,507,28,634
2024-01-08,SKU-LIG-138,51,58,7,73
2024-01-08,SKU-LIG-139,470,537,21,672
2024-01-08,SKU-LIG-140,197,0,7,79
2024-01-08,SKU-LIG-141,955,0,14,382
2024-01-08,SKU-LIG-142,100,268,14,336
2024-01-08,SKU-LIG-143,1072,0,28,429
2024-01-08,SKU-LIG-144,68,183,21,229
2024-01-08,SKU-LIG-145,1032,0,28,413
2024-01-08,SKU-LIG-146,746,0,28,622
2024-01-08,SKU-LIG-147,445,0,14,178
2024-01-08,SKU-LIG-148,1052,0,14,263
2024-01-08,SKU-LIG-149,214,572,28,715
2024-01-08,SKU-LIG-150,42,112,7,141
2024-01-08,SKU-LIG-151,163,0,14,136
2024-01-08,SKU-LIG-152,555,0,14,222
2024-01-08,SKU-LIG-153,132,352,28,441
2024-01-08,SKU-LIG-154,580,663,28,829
2024-01-08,SKU-LIG-155,178,0,14,149
2024-01-08,SKU-LIG-156,255,0,7,102
2024-01-08,SKU-LIG-157,535,0,14,214
2024-01-08,SKU-LIG-158,1467,0,21,587
2024-01-08,SKU-LIG-159,1215,0,21,486
2024-01-08,SKU-LIG-160,1584,0,14,396
2024-01-08,SKU-SMA-161,460,0,28,384
2024-01-08,SKU-SMA-162,73,196,21,246
2024-01-08,SKU-SMA-163,90,241,21,302
2024-01-08,SKU-SMA-164,52,140,14,176
2024-01-08,SKU-SMA-165,129,344,28,430
2024-01-08,SKU-SMA-166,60,68,7,86
2024-01-08,SKU-SMA-167,292,0,7,73
2024-01-08,SKU-SMA-168,235,627,28,784
2024-01-08,SKU-SMA-169,97,260,14,325
2024-01-08,SKU-SMA-170,60,160,7,201
2024-01-08,SKU-SMA-171,195,522,21,653
2024-01-08,SKU-SMA-172,1092,0,14,273
2024-01-08,SKU-SMA-173,1415,0,28,566
2024-01-08,SKU-SMA-174,1824,0,28,456
2024-01-08,SKU-SMA-175,626,0,28,522
2024-01-08,SKU-SMA-176,542,0,14,217
2024-01-08,SKU-SMA-177,382,0,7,153
2024-01-08,SKU-SMA-178,95,108,7,136
2024-01-08,SKU-SMA-179,407,0,7,163
2024-01-08,SKU-SMA-180,1018,0,28,849
2024-01-08,SKU-SMA-181,111,297,14,372
2024-01-08,SKU-SMA-182,591,0,21,493
2024-01-08,SKU-SMA-183,46,53,7,67
2024-01-08,SKU-SMA-184,121,0,7,101
2024-01-08,SKU-SMA-185,493,564,28,705
2024-01-08,SKU-SMA-186,62,165,7,207
2024-01-08,SKU-SMA-187,1936,0,21,484
2024-01-08,SKU-SMA-188,79,0,7,66
2024-01-08,SKU-SMA-189,1435,0,21,574
2024-01-08,SKU-SMA-190,1604,0,14,401
2024-01-08,SKU-SMA-191,1916,0,21,479
2024-01-08,SKU-SMA-192,2292,0,21,573
2024-01-08,SKU-SMA-193,83,221,21,277
2024-01-08,SKU-SMA-194,180,480,28,600
2024-01-08,SKU-SMA-195,384,439,28,549
2024-01-08,SKU-SMA-196,1316,0,21,329
2024-01-08,SKU-SMA-197,276,736,28,921
2024-01-08,SKU-SMA-198,326,0,14,272
2024-01-08,SKU-SMA-199,997,0,14,399
2024-01-08,SKU-SMA-200,632,722,28,903
2024-01-15,SKU-BED-001,2696,0,21,674
2024-01-15,SKU-BED-002,54,146,7,183
2024-01-15,SKU-BED-003,57,154,7,193
2024-01-15,SKU-BED-004,360,0,7,90
2024-01-15,SKU-BED-005,414,0,21,345
2024-01-15,SKU-BED-006,192,0,7,160
2024-01-15,SKU-BED-007,547,0,7,219
2024-01-15,SKU-BED-008,95,255,14,319
2024-01-15,SKU-BED-009,258,689,28,862
2024-01-15,SKU-BED-010,604,0,28,504
2024-01-15,SKU-BED-011,552,0,7,221
2024-01-15,SKU-BED-012,201,230,21,288
2024-01-15,SKU-BED-013,1948,0,21,487
2024-01-15,SKU-BED-014,60,161,7,202
2024-01-15,SKU-BED-015,72,82,7,103
2024-01-15,SKU-BED-016,1350,0,21,540
2024-01-15,SKU-BED-017,272,0,14,227
2024-01-15,SKU-BED-018,212,0,7,177
2024-01-15,SKU-BED-019,237,0,7,198
2024-01-15,SKU-BED-020,413,472,21,590
2024-01-15,SKU-BED-021,189,0,7,158
2024-01-15,SKU-BED-022,250,0,21,209
2024-01-15,SKU-BED-023,732,0,28,610
2024-01-15,SKU-BED-024,417,0,14,348
2024-01-15,SKU-BED-025,104,119,14,149
2024-01-15,SKU-BED-026,824,0,28,687
2024-01-15,SKU-BED-027,136,156,21,195
2024-01-15,SKU-BED-028,532,0,7,133
2024-01-15,SKU-BED-029,87,232,14,290
2024-01-15,SKU-BED-030,189,216,14,271
2024-01-15,SKU-BED-031,172,197,14,247
2024-01-15,SKU-BED-032,1062,0,14,425
2024-01-15,SKU-BED-033,294,336,21,420
2024-01-15,SKU-BED-034,247,283,28,354
2024-01-15,SKU-BED-035,193,221,21,277
2024-01-15,SKU-BED-036,361,0,14,301
2024-01-15,SKU-BED-037,154,412,21,516
2024-01-15,SKU-BED-038,598,0,21,499
2024-01-15,SKU-BED-039,65,173,7,217
2024-01-15,SKU-BED-040,965,0,14,386
2024-01-15,SKU-FUR-041,507,0,21,423
2024-01-15,SKU-FUR-042,564,644,28,806
2024-01-15,SKU-FUR-043,1625,0,28,650
2024-01-15,SKU-FUR-044,105,280,21,351
2024-01-15,SKU-FUR-045,520,0,14,208
2024-01-15,SKU-FUR-046,880,0,7,220
2024-01-15,SKU-FUR-047,1756,0,28,439
2024-01-15,SKU-FUR-048,83,221,14,277
2024-01-15,SKU-FUR-049,264,302,14,378
2024-01-15,SKU-FUR-050,632,0,7,158
2024-01-15,SKU-FUR-051,841,0,28,701
2024-01-15,SKU-FUR-052,1432,0,21,358
2024-01-15,SKU-FUR-053,306,350,21,438
2024-01-15,SKU-FUR-054,329,376,28,470
2024-01-15,SKU-FUR-055,202,231,14,289
2024-01-15,SKU-FUR-056,612,0,14,245
2024-01-15,SKU-FUR-057,254,0,14,212
2024-01-15,SKU-FUR-058,436,0,7,109
2024-01-15,SKU-FUR-059,195,0,7,163
2024-01-15,SKU-FUR-060,1011,0,28,843
2024-01-15,SKU-FUR-061,93,249,14,312
2024-01-15,SKU-FUR-062,358,0,14,299
2024-01-15,SKU-FUR-063,342,0,21,285
2024-01-15,SKU-FUR-064,124,331,28,414
2024-01-15,SKU-FUR-065,117,314,21,393
2024-01-15,SKU-FUR-066,1248,0,14,312
2024-01-15,SKU-FUR-067,515,0,14,206
2024-01-15,SKU-FUR-068,99,113,7,142
2024-01-15,SKU-FUR-069,54,145,7,182
2024-01-15,SKU-FUR-070,387,442,28,553
2024-01-15,SKU-FUR-071,162,0,7,65
2024-01-15,SKU-FUR-072,67,179,14,224
2024-01-15,SKU-FUR-073,39,104,7,130
2024-01-15,SKU-FUR-074,123,0,7,103
2024-01-15,SKU-FUR-075,837,0,28,698
2024-01-15,SKU-FUR-076,149,399,28,499
2024-01-15,SKU-FUR-077,1868,0,21,467
2024-01-15,SKU-FUR-078,602,0,14,241
2024-01-15,SKU-FUR-079,644,736,28,921
2024-01-15,SKU-FUR-080,559,0,21,466
2024-01-15,SKU-DEC-081,146,390,28,488
2024-01-15,SKU-DEC-082,97,111,7,139
2024-01-15,SKU-DEC-083,68,183,14,229
2024-01-15,SKU-DEC-084,404,0,7,101
2024-01-15,SKU-DEC-085,220,0,7,184
2024-01-15,SKU-DEC-086,104,278,21,348
2024-01-15,SKU-DEC-087,748,0,7,187
2024-01-15,SKU-DEC-088,266,0,7,222
2024-01-15,SKU-DEC-089,375,428,21,536
2024-01-15,SKU-DEC-090,114,304,28,380
2024-01-15,SKU-DEC-091,168,448,21,561
2024-01-15,SKU-DEC-092,229,262,21,328
2024-01-15,SKU-DEC-093,1944,0,21,486
2024-01-15,SKU-DEC-094,1524,0,14,381
2024-01-15,SKU-DEC-095,1956,0,21,489
2024-01-15,SKU-DEC-096,1707,0,21,683
2024-01-15,SKU-DEC-097,141,161,7,202
2024-01-15,SKU-DEC-098,900,0,14,225
2024-01-15,SKU-DEC-099,492,0,7,123
2024-01-15,SKU-DEC-100,318,364,28,455
2024-01-15,SKU-DEC-101,163,436,21,545
2024-01-15,SKU-DEC-102,75,201,21,252
2024-01-15,SKU-DEC-103,42,112,14,141
2024-01-15,SKU-DEC-104,100,115,14,144
2024-01-15,SKU-DEC-105,156,179,14,224
2024-01-15,SKU-DEC-106,265,0,7,221
2024-01-15,SKU-DEC-107,816,0,28,680
2024-01-15,SKU-DEC-108,529,605,28,757
2024-01-15,SKU-DEC-109,48,128,14,160
2024-01-15,SKU-DEC-110,312,0,28,260
2024-01-15,SKU-DEC-111,132,0,7,110
2024-01-15,SKU-DEC-112,200,228,14,286
2024-01-15,SKU-DEC-113,432,0,21,360
2024-01-15,SKU-DEC-114,67,180,7,225
2024-01-15,SKU-DEC-115,294,336,28,421
2024-01-15,SKU-DEC-116,290,332,14,415
2024-01-15,SKU-DEC-117,328,0,7,82
2024-01-15,SKU-DEC-118,206,236,28,295
2024-01-15,SKU-DEC-119,523,0,21,436
2024-01-15,SKU-DEC-120,1597,0,28,639
2024-01-15,SKU-LIG-121,249,284,14,356
2024-01-15,SKU-LIG-122,704,0,14,176
2024-01-15,SKU-LIG-123,3188,0,28,797
2024-01-15,SKU-LIG-124,266,0,7,222
2024-01-15,SKU-LIG-125,53,61,7,77
2024-01-15,SKU-LIG-126,94,251,21,314
2024-01-15,SKU-LIG-127,187,0,7,156
2024-01-15,SKU-LIG-128,79,212,14,265
2024-01-15,SKU-LIG-129,228,260,14,326
2024-01-15,SKU-LIG-130,415,0,7,166
2024-01-15,SKU-LIG-131,2316,0,21,579
2024-01-15,SKU-LIG-132,632,0,14,253
2024-01-15,SKU-LIG-133,2584,0,21,646
2024-01-15,SKU-LIG-134,315,360,28,451
2024-01-15,SKU-LIG-135,2588,0,28,647
2024-01-15,SKU-LIG-136,162,432,28,540
2024-01-15,SKU-LIG-137,380,0,14,317
2024-01-15,SKU-LIG-138,175,0,14,146
2024-01-15,SKU-LIG-139,806,0,21,672
2024-01-15,SKU-LIG-140,111,127,14,159
2024-01-15,SKU-LIG-141,2292,0,21,573
2024-01-15,SKU-LIG-142,151,403,21,504
2024-01-15,SKU-LIG-143,300,343,28,429
2024-01-15,SKU-LIG-144,382,0,14,153
2024-01-15,SKU-LIG-145,92,247,21,309
2024-01-15,SKU-LIG-146,93,248,14,311
2024-01-15,SKU-LIG-147,667,0,21,267
2024-01-15,SKU-LIG-148,1052,0,14,263
2024-01-15,SKU-LIG-149,160,428,21,536
2024-01-15,SKU-LIG-150,2268,0,28,567
2024-01-15,SKU-LIG-151,143,164,21,205
2024-01-15,SKU-LIG-152,555,0,14,222
2024-01-15,SKU-LIG-153,231,264,21,331
2024-01-15,SKU-LIG-154,248,663,28,829
2024-01-15,SKU-LIG-155,268,0,21,224
2024-01-15,SKU-LIG-156,510,0,14,204
2024-01-15,SKU-LIG-157,225,257,21,322
2024-01-15,SKU-LIG-158,2348,0,21,587
